Type of Contact,TypeofOrganization,Subtype,Name of Organization,City,Province,Office or Location or Program,Alternate or Previous Name,Mailing Address,Physical Address,Directions to Address,Postal Code,Phone 1,Phone 1 Ext,Phone 2,Toll Free 1,Toll Free 1 Ext,Fax 1,Fax 2,Email 1,Email 2,Website 1,Website 2,Affiliations,Pronunciation,Region,Region Number,INAC #
Services and Agencies,"Employment, Job Search and Placement",,ACCESS (Aboriginal Community Careers Employment Services Society),Surrey,BC,Aboriginal Training Employment Cooperative,Employment Assistance Program (EAS),10757 - 138th St.,,,V3T 4K8,778-395-0385,,,,,604-581-0944,,ATECadmin@accessfutures.com,,http://www.atec-surrey.com ,http://www.accessfutures.com/,Métis Nation British Columbia,may-tee,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,ACCESS (Aboriginal Community Careers Employment Services Society),New Westminster,BC,Essential Skills for Aboriginal Futures (ESAF),,201-681 Columbia St.,,,V3M 1A8,604-521-5929,,,,,604-521-5931,,esafadmin@accessfutures.com,,www.accessfutures.com,,,,Mainland/Southwest,3,
Umbrella Organizations,"Employment, Job Search and Placement",Aboriginal Skills and Employment Training Strategy (ASETS) Offices,ACCESS (Aboriginal Community Careers Employment Services Society),West Vancouver,BC,Head Office,,108-100 Park Royal South,,,V7T 1A2,604-913-7933,,,,,604-913-7938,,adminassist@accessfutures.com,,www.accessfutures.com,,,,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,Aboriginal Skills and Employment Training Strategy (ASETS) Offices,ACCESS (Aboriginal Community Careers Employment Services Society),West Vancouver,BC,Head Office,,108-100 Park Royal South,,,V7T 1A2,604-913-7933,,,,,604-913-7938,,adminassist@accessfutures.com,,www.accessfutures.com,,,,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,ACCESS (Aboriginal Community Careers Employment Services Society),Vancouver,BC,BladeRunners - Vancouver Office,,390 Main St.,,,V6A 2T1,604-688-9116,,,,,604-688-9146,,bladerunners@accessfutures.com,,www.accessfutures.com,,,,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,Adams Lake Development Corporation,Chase,BC,,,PO Box 588,6453 Hillcrest Rd.,,V0E 1M0,250-679-8841,,,,,250-679-8813,,receptionist@alib.ca,,www.adamslakeband.org,,"Adams Lake Indian Band, ALDCO Wood Products, CIYALE Agricorp, West Harbour Village, Adams Lake Alternate Energy Division, Adams Lake Real Estate Division",,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Adams Lake Indian Band,Chase,BC,,,PO Box 588,6453 Hillcrest Rd.,,V0E 1M0,250-679-8841,,,1-877-679-8841,,250-679-8813,,receptionist@alib.ca,,www.adamslakeband.org,,"Shuswap Nation Tribal Council, Sexqeltqin Health Centre, Adams Lake Development Corporation, ALDCO Wood Products",,Thompson/Okanagan,4,684
First Nations,First Nation Communities,,Ahousaht First Nation,Ahousaht,BC,,,General Delivery,,,V0R 1A0,250-670-9531,,250-670-9563,1-800-991-1433,,250-670-9696,,,,www.ahousaht.ca,,,a-howz-at,Vancouver Island/Coast,2,659
Services and Agencies,Legal Services,Restorative Justice,Ahousaht First Nation,Ahousaht,BC,Ahoushat Community Health Services,,General Delivery,"458 Ahousat Reserve, Ahousat, BC V0R 1A0",,V0R 1A0,250-670-9558,,,1-855-670-9558,,250-670-9554,,Julia.Atleo@ahousaht.ca,Marie.Donahue@ahousaht.ca,,,,a-howz-at,Vancouver Island/Coast,2,
Services and Agencies,Treatment and Healing Services,Non-Residential,Ahousaht Holistic Centre,Ahousaht,BC,,,PO Box 91,"458 Ahousat Reserve, Ahousat, BC V0R 1A0",,V0R 1L6,250-670-9558,,250-670-9563,,,250-670-9554,,,,,,,a-howz-at,Vancouver Island/Coast,2,
First Nations,First Nation Communities,,Aitchelitz Band,Chilliwack,BC,,,8161 Aitchelitz Rd.,(Sardis),,V2R 4H4,604-858-3366,(Sto:lo Nation Society),,,,,,,,www.saylandsoffice.ca,,"Skowkale, Aitchelitz and Yakweakwioose Nations collectively are referred to as the SAY Nations; Sto:lo Nation",a-che-leetz,Mainland/Southwest,3,558
First Nations,First Nation Communities,,Akisqnuk First Nation,Windermere,BC,,Columbia Lake First Nation,3050 Hwy 93/95,,,V0B 2L2,250-342-6301,,,,,250-342-9693,,,,www.akisqnuk.org,,"Akisqnuk Health Resource Centre, Ktunaxa/Kinbasket Tribal Council, Akisqnuknik Development Corporation",a-kissk-nook,Kootenay,5,604
Services and Agencies,Education,,Akisqnuk Health Resource Centre,Windermere,BC,,,3048 Hwy 93/95,,,V0B 2L2,250-342-6379,,,,,250-342-6279,,,,,,"Akisqnuk First Nation, Ktunaxa Nation Council",a-kissk-nook,Kootenay,5,
Services and Agencies,Family and Youth Services,,Akisqnuk Health Resource Centre,Windermere,BC,,,3048 Hwy 93/95,,,V0B 2L2,250-342-6379,,,,,250-342-6279,,,,,,"Akisqnuk First Nation, Ktunaxa Nation Council",a-kissk-nook,Kootenay,5,
Services and Agencies,Health Services,,Akisqnuk Health Resource Centre,Windermere,BC,,,3048 Hwy 93/95,,,V0B 2L2,250-342-6379,,,,,250-342-6279,,,,,,"Akisqnuk First Nation, Ktunaxa Nation Council",a-kissk-nook,Kootenay,5,
Services and Agencies,Treatment and Healing Services,Non-Residential,Akisqnuk Health Resource Centre,Windermere,BC,,,3048 Hwy 93/95,,,V0B 2L2,250-342-6379,,,,,250-342-6279,,,,,,"Akisqnuk First Nation, Ktunaxa Nation Council",a-kissk-nook,Kootenay,5,
Métis,Métis Nation British Columbia and Chartered Communities,,Alberni Clayoquot Métis Association,Port Alberni,BC,Vancouver Island,,c/o 1003 Polly's Point,,,V9Y 8Y4 ,250-723-2042 ,,,1-800-940-1150,,,,june-graham@shaw.ca ,reception@mnbc.ca,http://www.mnbc.ca,,Métis Nation British Columbia,may-tee,Vancouver Island/Coast,2,
Previous Name,First Nation Communities,,Alexandria Indian Band,Quesnel,BC,,see ?Esdilagh First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Previous Name,First Nation Communities,,Alexis Creek Indian Band,Chilanko Forks,BC,,see  T?ideldel First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Business and Economic Development,,All Nations Development Corporation,Kamloops,BC,,,520 Chief Eli LaRue Way,,,V2H 1H1,778-471-4110,,,1-800-663-2959,,250-372-2585,,antco@antco.bc.ca,,www.antco.bc.ca,,All Nations Trust Company,,Thompson/Okanagan,4,
Services and Agencies,Business and Economic Development,,All Nations Trust Company,Kamloops,BC,,,520 Chief Eli LaRue Way,,,V2H 1H1,778-471-4110 ,,,1-800-663-2959,,250-372-2585,,antco@antco.bc.ca,,www.antco.bc.ca,,All Nations Development Corporation,,Thompson/Okanagan,4,
Métis,Métis Nation British Columbia and Chartered Communities,,Ashcroft and District Métis Association,Ashcroft,BC,Thompson & Okanagan,,,,,,250-457-7188,,,1-800-940-1150,,,,reception@mnbc.ca,,https://www.mnbc.ca/,,Métis Nation British Columbia,may-tee,Cariboo,6,
First Nations,First Nation Communities,,Ashcroft Indian Band,Ashcroft,BC,,,PO Box 440,2421 Union Crescent,,V0K 1A0,250-453-9154,,,,,250-453-9156,,jodene@ashcroftband.ca,,www.ashcroftband.ca,,Nlaka'pamux Nation Tribal Council,,Cariboo,6,685
Services and Agencies,Health Services,,Ashcroft Indian Band Health Centre,Ashcroft,BC,,,PO Box 440,2327 Old Corwall Rd.,,V0K 1A0,250-453-9325,,,,,250-453-9188,,,,,,,,Cariboo,6,
Services and Agencies,Treatment and Healing Services,Non-Residential,Atira Women's Resource Society,Surrey,BC,The Family Project,,Suite 107 - 2430 King George B,,,V4P 1H5,604-531-9143,,,,,604-535-1767,,info@atira.bc.ca,,www.atira.bc.ca,,,,Mainland/Southwest,3,
Services and Agencies,Women's Organizations,,Atira Women's Resource Society,Surrey,BC,"Waaban Outreach to Women who are First Nations, Métis and Inuit",,9145 King George Blvd.,,,V3V 5W1,604-299-1733,,,,,604-688-1799,,info@atira.bc.ca,,www.atira.bc.ca,,,,Mainland/Southwest,3,
Services and Agencies,Women's Organizations,,Atira Women's Resource Society,Vancouver,BC,Administration,,201 - 101 E. Cordova St.,,,V6A 1B5,604-681-4437,,,,,604-688-1799,,info@atira.bc.ca,,www.atira.bc.ca,,,,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,A-Tlegay Fisheries Society,Campbell River,BC,,,1441 A Old Island Hwy,,,V9W 2E4,250-287-8868,,,,,250-287-8414,,atlegay@shawcable.com,,,,"Comox, Kwiakah, Tlowitsis, Wei Wai Kum, We Wai Kai",at-le-gay,Vancouver Island/Coast,2,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Ayas Men Men Child & Family Services,West Vancouver,BC,,,"PO Box 51570, 911 Park Royal South","Unit 2, 380 Welch St., West Vancouver, BC,  V7P 0A7",,V7T 1A0,604-985-4111,,,,,604-983-9380,,,,www.squamish.net,,Squamish Nation,ay-es mun mun,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,Ayas Men Men Child & Family Services,West Vancouver,BC,,,"PO Box 51570, 911 Park Royal South","Unit 2, 380 Welch St., West Vancouver, BC,  V7P 0A7",,V7T 1A0,604-985-4111,,,,,604-983-9380,,,,www.squamish.net,,Squamish Nation,ay-es mun mun,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,BC Aboriginal Child Care Society,West Vancouver,BC,,,708 - 100 Park Royal South,,,V7T 1A2,604-913-9128,,,,,604-913-9129,,reception@acc-society.bc.ca,,www.acc-society.bc.ca,,"Eagles Nest Preschool Aboriginal Head Start Program, Singing Frog Preschool Aboriginal Head Start Program",,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,BC Aboriginal Child Care Society,West Vancouver,BC,,,708 - 100 Park Royal South,,,V7T 1A2,604-913-9128,,,,,604-913-9129,,reception@acc-society.bc.ca,,www.acc-society.bc.ca,,"Eagles Nest Preschool Aboriginal Head Start Program, Singing Frog Preschool Aboriginal Head Start Program",,Mainland/Southwest,3,
Services and Agencies,Health Services,,BC Aboriginal Network on Disability Society (BCANDS),Victoria,BC,,,6 - 1610 Island Hwy.,,,V9B 1H8,250-381-7303,Ext. 208,,1-888-815-5511,(TTY Accessible),250-381-7312,,bcands@bcands.bc.ca,,www.bcands.bc.ca,,,,Vancouver Island/Coast,2,
Umbrella Organizations,Provincial/Umbrella Organizations,,BC Assembly of First Nations (BCAFN),Vancouver,BC,,,1020-1200 W. 73rd Ave.,,,V6P 6G5,778-945-9911,,,,,778-945-9916,,executive.assistant@bcafn.ca,,www.bcafn.ca,,National Assembly of First Nations,,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,BC Assembly of First Nations (BCAFN),Prince George,BC,,,1004 Landooz Rd.,,,V2K 5S3,,,,,,,,executive.assistant@bcafn.ca,,www.bcafn.ca,,National Assembly of First Nations,,Nechako,8,
Services and Agencies,Friendship Centres,,BC Association of Aboriginal Friendship Centres,Victoria,BC,,,551 Chatham St.,,,V8T 1E1,250-388-5522,,,1-800-990-2432,,250-388-5502,,frontdesk@bcaafc.com,admin@bcaafc.com,www.bcaafc.com,,,,Vancouver Island/Coast,2,
Umbrella Organizations,Provincial/Umbrella Organizations,,BC Association of Aboriginal Friendship Centres,Victoria,BC,,,551 Chatham St.,,,V8T 1E1,250-388-5522,,,1-800-990-2432,,250-388-5502,,frontdesk@bcaafc.com,admin@bcaafc.com,www.bcaafc.com,,,,Vancouver Island/Coast,2,
Services and Agencies,Education,,BC Centre for Disease Control,Vancouver,BC,Chee Mamuk Aboriginal Program; Clinical Prevention Services,,655 W. 12th Ave.,,,V5Z 4R4,604-707-5605,,,,,604-707-5604,,cheemamuk@bccdc.ca,,www.bccdc.ca,,,chee-mah-muk,Mainland/Southwest,3,
Services and Agencies,Health Services,,BC Centre for Disease Control,Vancouver,BC,Chee Mamuk Aboriginal Program; Clinical Prevention Services,,655 W. 12th Ave.,,,V5Z 4R4,604-707-5605,,,,,604-707-5604,,cheemamuk@bccdc.ca,,www.bccdc.ca,,,chee-mah-muk,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,BC Council for Families,Vancouver,BC,Journey to Healing Program; Aboriginal Youth Suicide Postvention Program,,208-1847 West Broadway,,,V6J 1Y6,604-678-8884,,,,,604-678-8886,,bccf@bccf.ca,,,,,,Mainland/Southwest,3,
Services and Agencies,Communications and Media,,BC Elders Communication Center Society/BC Elders Council,Campbell River,BC,,,1415 Wewaikum Rd.,,,V9W 5W9,250-286-9977,,,1-877-738-7288,(for elders),250-286-4809,,bcelders@telus.net,,www.bcelders.com,,BC Elders Council,,Vancouver Island/Coast,2,
Umbrella Organizations,Provincial/Umbrella Organizations,,BC Metis Federation,Vancouver,BC,,,300 - 3665 Kingsway,,,V5R 5W2,604-638-7220,,,,,604-435-8181,,s.daniels@bcmetis.com,,www.bcmetis.com,,,,Mainland/Southwest,3,
Métis,Métis Organizations,,BC Metis Federation,Vancouver,BC,,,300 - 3665 Kingsway,,,V5R 5W2,604-638-7220,,,,,604-435-8181,,s.daniels@bcmetis.com,,www.bcmetis.com,,,,Mainland/Southwest,3,
Services and Agencies,Legal Services,First Nations Court,BC Provincial Court,Duncan,BC,Duncan,,238 Government St.,,,V9L 1A5,250-746-1258,,,,,,,,,http://www.provincialcourt.bc.ca/court-location/duncan,,,,Vancouver Island/Coast,2,
Services and Agencies,Legal Services,First Nations Court,BC Provincial Court,Kamloops,BC,Kamloops,,455 Columbia St.,,,V2C 6K4,250-828-4344,,,,,,,,,http://www.provincialcourt.bc.ca/court-location/kamloops,,,,Thompson/Okanagan,4,
Services and Agencies,Legal Services,First Nations Court,BC Provincial Court,New Westminster,BC,New Westminster,,651 Carnarvon St.,,,V3M 1C9,604-660-8522,,,,,,,,,http://www.provincialcourt.bc.ca/court-location/new-westminster,,,,Mainland/Southwest,3,
Services and Agencies,Legal Services,First Nations Court,BC Provincial Court,North Vancouver,BC,North Vancouver,,200 East 23rd St.,,,V7L 4R4,604-981-0200,,,,,,,,,http://www.provincialcourt.bc.ca/court-location/north-vancouver,,,,Mainland/Southwest,3,
Services and Agencies,Legal Services,First Nations Court,BC Provincial Court,Prince George,BC,Prince George,,250 George St.,,,V2L 5S2,250-614-2700,,,,,,,,,http://www.provincialcourt.bc.ca/court-location/prince-george,,,,Nechako,8,
Services and Agencies,Treatment and Healing Services,Non-Residential,BC Responsible & Problem Gambling Program,Victoria,BC,,,PO Box 9311 Stn Prov Govt.,"3rd Fl., 910 Government St., Victoria BC",,V8W 9N1,,,,1-888-795-6111,,250-356-8237,,Problem.Gambling@gov.bc.ca,,http://www.bcresponsiblegambling.ca/,,,,Vancouver Island/Coast,2,
Previous Name,First Nation Communities,,Beecher Bay First Nation,Sooke,BC,,see Scia'new First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Previous Name,Treaty Offices,,Beecher Bay Treaty Office,Sooke,BC,,see Scia'new Treaty Office,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Business and Economic Development,,Bella Bella Community Development Society,Bella Bella,BC,,,PO Box 725,224 Wabalisla St.,,VOT 1Z0,250-957-2556,,,,,,,,,,,,,Vancouver Island/Coast,2,
Previous Name,First Nation Communities,,Bella Bella Indian Band,Bella Bella,BC,,see Heiltsuk Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Previous Name,First Nation Communities,,Bella Coola First Nation,Vancouver,BC,,see Nuxalk Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Big Sisters of BC Lower Mainland,Vancouver,BC,,,34 East 12th Ave.,,,V5T 2G5,604-873-4525,ext 300,,,,604-873-2122,,info@bigsisters.bc.ca,,https://www.bigsisters.bc.ca/,,Big Brothers/Big Sisters of Canada,,Mainland/Southwest,3,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Big Sisters of BC Lower Mainland,Vancouver,BC,,,34 East 12th Ave.,,,V5T 2G5,604-873-4525,ext 300,,,,604-873-2122,,info@bigsisters.bc.ca,,https://www.bigsisters.bc.ca/,,Big Brothers/Big Sisters of Canada,,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,Big Sisters of BC Lower Mainland,Vancouver,BC,,,34 East 12th Ave.,,,V5T 2G5,604-873-4525,ext 300,,,,604-873-2122,,info@bigsisters.bc.ca,,https://www.bigsisters.bc.ca/,,Big Brothers/Big Sisters of Canada,,Mainland/Southwest,3,
Services and Agencies,Women's Organizations,,Big Sisters of BC Lower Mainland,Vancouver,BC,,,34 East 12th Ave.,,,V5T 2G5,604-873-4525,ext 300,,,,604-873-2122,,info@bigsisters.bc.ca,,https://www.bigsisters.bc.ca/,,Big Brothers/Big Sisters of Canada,,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,Big Sisters of BC Lower Mainland,Vancouver,BC,,,34 East 12th Ave.,,,V5T 2G5,604-873-4525,ext 300,,,,604-873-2122,,info@bigsisters.bc.ca,,https://www.bigsisters.bc.ca/,,Big Brothers/Big Sisters of Canada,,Mainland/Southwest,3,
